#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2024-11-07T21:53:24 [V7.4.1]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2024-11-07T21:53:24	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=1000&-order=I&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-out.src=VII/92A/catalog&-source=VII/92A/catalog&-out=RA1950&-out=DE1950&-out=Diam&-out=Dist&-out=log.Age&-out=[Fe/H]&-out=E(B-V)&-out=Cname&-out=_RA.icrs&-out=_DE.icrs&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.4.1	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_7092
#Name: VII/92A
#Title: Open Cluster Data 5th Edition (Lynga 1987)
#INFO	ivoid=ivo://cds.vizier/vii/92a	    IVOID of underlying data collection
#INFO	creator=LYNGA G.: 1987	    First author or institution
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/VII/92A	    Dataset landing page
#INFO	publication_date=2018-01-12	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	B1950:	eq_FK4 B1950
#Table	VII_92A_catalog:
#Name: VII/92A/catalog
#Title: The Catalogue Data File
#Column	RA1950	(A7)	Right Ascension 1950	[ucd=pos.eq.ra]
#Column	DE1950	(A6)	Declination 1950	[ucd=pos.eq.dec]
#Column	Diam	(F6.1)	? Selected Angular diameter	[ucd=phys.angSize]
#Column	Dist	(I4)	? Distance	[ucd=pos.distance]
#Column	log.Age	(F5.2)	[6/10]? log(age), years	[ucd=arith.zp]
#Column	[Fe/H]	(F5.2)	[-.8/.3]? Metallicity, logarithmic scale	[ucd=instr.scale]
#Column	E(B-V)	(F6.2)	[0/2]? Reddening	[ucd=phot.color.excess]
#Column	Cname	(A9)	[C0-9+-] Cluster "C" designation (4)	[ucd=meta.id;meta.main]
#Column	_RA.icrs	(A10)	Right ascension (ICRS) (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(A9)	Declination (ICRS) (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
RA1950	DE1950	Diam	Dist	log.Age	[Fe/H]	E(B-V)	Cname	_RA.icrs	_DE.icrs
09 47.9	-65 01	   3.6	    	     	     	      	C0947-650	09 49 09.5	-65 15 02
09 49.3	-52 56	   1.5	3700	 6.80	     	      	C0949-529	09 51 04.1	-53 10 06
09 49.9	-56 03	   5.0	    	     	     	      	C0949-560	09 51 34.4	-56 17 07
09 52.8	-50 28	  17.0	    	     	     	      	C0952-504	09 54 39.2	-50 42 14
09 53.6	-46 46	   1.7	    	     	     	      	C0953-467	09 55 32.6	-47 00 16
09 56.1	-54 24	   4.0	    	     	     	      	C0956-544	09 57 51.8	-54 38 21
09 56.2	-54 20	   4.0	    	     	     	      	C0956-543	09 57 58.0	-54 34 22
09 59.0	-54 31	   2.0	8000	 7.10	     	      	C0959-545	10 00 46.6	-54 45 28
10 00.0	-59 13	  12.0	    	     	     	      	C1000-592	10 01 37.7	-59 27 30
09 59.9	-54 47	   1.7	    	     	     	      	C0959-548	10 01 40.5	-55 01 30
10 01.1	-59 51	  35.0	 900	 8.03	 0.01	  0.00	C1001-598	10 02 42.8	-60 05 32
10 03.4	-61 21	   5.0	    	     	     	      	C1003-613	10 04 58.2	-61 35 37
10 04.6	-60 07	   3.0	    	     	     	      	C1004-601	10 06 13.7	-60 21 40
10 04.8	-60 03	   4.0	    	     	     	      	C1004-600	10 06 26.0	-60 17 40
10 04.8	-60 14	   3.0	    	     	     	      	C1004-602	10 06 25.5	-60 28 40
10 07.2	-60 56	  32.0	    	     	     	      	C1007-609	10 08 49.0	-61 10 45
10 13.5	-50 27	   2.2	    	     	     	      	C1013-504	10 15 27.6	-50 41 58
10 17.8	-62 49	   5.0	    	     	     	      	C1017-628	10 19 25.7	-63 04 06
10 19.8	-51 27	  18.0	 500	 7.62	     	  0.00	C1019-514	10 21 46.4	-51 42 10
20 19.8	+37 12	  12.0	    	     	     	      	C2019+372	20 21 40.2	+37 21 37
10 22.0	-59 49	   5.0	    	     	     	      	C1022-598	10 23 46.3	-60 04 14
10 22.1	-57 29	   1.5	5000	 6.00	     	  1.62	C1022-575	10 23 56.5	-57 44 14
10 24.1	-57 40	   6.0	1400	 7.70	     	  0.30	C1024-576	10 25 57.0	-57 55 18
10 24.7	-60 24	   2.0	    	 8.30	     	      	C1024-604	10 26 28.4	-60 39 19
10 25.5	-57 22	   7.0	1660	 7.00	     	  0.41	C1025-573	10 27 22.1	-57 37 20
10 26.7	-57 54	   2.0	    	     	     	      	C1026-579	10 28 33.8	-58 09 22
10 27.3	-60 27	   4.0	    	     	     	      	C1027-604	10 29 05.5	-60 42 23
10 28.7	-59 33	   9.0	    	     	     	      	C1028-595	10 30 31.8	-59 48 26
10 29.1	-57 58	   9.0	    	     	     	      	C1029-579	10 30 58.7	-58 13 26
10 33.9	-57 57	   5.0	2600	 7.40	     	  0.29	C1033-579	10 35 48.8	-58 12 34
10 35.4	-58 21	   5.0	3300	 6.34	     	  0.43	C1035-583	10 37 18.9	-58 36 36
10 36.6	-53 52	   6.0	1390	 7.70	     	  0.17	C1036-538	10 38 37.4	-54 07 38
10 40.3	-64 49	  13.0	2100	 7.80	     	  0.38	C1040-648	10 42 03.5	-65 04 44
10 41.1	-59 44	  14.0	2600	 6.00	     	  0.48	C1041-597	10 43 01.3	-59 59 45
10 41.4	-64 07	  49.0	 155	 7.00	-0.20	  0.03	C1041-641	10 43 11.7	-64 22 45
10 42.0	-59 17	   5.0	2900	 7.00	     	  0.50	C1041-593	10 43 56.5	-59 32 46
10 42.8	-59 05	   3.0	2600	 6.78	     	  0.51	C1042-591	10 44 45.1	-59 20 48
10 42.9	-59 17	   4.0	    	     	     	      	C1042-593	10 44 50.9	-59 32 48
10 43.2	-59 26	  10.0	2900	 7.00	     	  0.47	C1043-594	10 45 08.8	-59 41 48
10 45.7	-57 12	   1.7	    	     	     	      	C1045-572	10 47 43.0	-57 27 52
10 51.1	-62 00	   4.5	    	     	     	      	C1051-620	10 53 02.8	-62 15 59
10 51.9	-61 27	   2.2	2700	 8.10	     	  0.23	C1051-614	10 53 52.1	-61 43 00
10 54.2	-58 56	   5.0	1400	 7.54	     	  0.64	C1054-589	10 56 14.6	-59 12 03
10 55.0	-60 45	   7.0	    	     	     	      	C1055-607	10 57 00.7	-61 01 04
10 56.3	-58 46	   1.5	    	     	     	      	C1056-587	10 58 21.8	-59 02 05
10 57.8	-60 03	   9.0	1100	 8.36	     	  0.49	C1057-600	10 59 51.0	-60 19 07
10 58.0	-60 05	      	3100	 6.00	     	      	C1058-601	11 00 03.0	-60 21 07
10 59.0	-59 32	   0.6	4200	 6.00	     	  0.49	C1059-595	11 01 04.2	-59 48 08
11 02.3	-61 05	   4.0	    	 8.30	     	      	C1102-611	11 04 22.0	-61 21 12
11 02.9	-67 39	   1.7	    	     	     	      	C1102-676	11 04 48.1	-67 55 13
11 03.9	-59 32	      	    	 6.00	     	  0.38	C1103-595	11 06 00.6	-59 48 14
11 04.3	-58 23	  55.0	 500	 8.54	     	  0.00	C1104-584	11 06 26.0	-58 39 14
11 08.3	-59 57	   6.0	2300	 7.10	     	  0.48	C1108-599	11 10 26.3	-60 13 18
11 08.6	-60 05	   3.0	2200	 6.30	     	  0.44	C1108-601	11 10 44.3	-60 21 18
11 09.1	-60 00	  24.0	    	 6.00	     	      	C1109-600	11 11 14.6	-60 16 19
11 09.3	-60 23	  12.0	2500	 7.40	     	  0.33	C1109-604	11 11 26.3	-60 39 19
11 09.4	-60 05	   1.5	2300	 6.80	     	  0.30	C1109-601	11 11 32.7	-60 21 19
11 10.2	-60 28	   3.0	    	     	     	      	C1110-604	11 12 20.7	-60 44 20
11 10.8	-60 30	   4.0	1900	 7.70	     	  0.38	C1110-605	11 12 57.0	-60 46 21
11 10.9	-58 38	   3.0	2700	 7.40	     	  0.23	C1110-586	11 13 04.8	-58 54 21
11 12.1	-57 18	  10.0	    	     	     	      	C1112-573	11 14 18.5	-57 34 22
11 12.9	-60 58	   2.5	5300	 6.00	     	  1.32	C1112-609	11 15 03.6	-61 14 22
11 14.1	-59 59	   3.0	    	     	     	      	C1114-600	11 16 17.2	-60 15 23
11 15.7	-62 25	  12.0	1200	 8.30	     	  0.43	C1115-624	11 17 51.6	-62 41 25
11 17.3	-63 13	   4.0	2100	 7.77	     	  0.36	C1117-632	11 19 27.7	-63 29 26
11 23.3	-42 57	  12.0	 800	 9.26	-0.07	  0.03	C1123-429	11 25 42.1	-43 13 30
11 28.1	-63 09	  21.0	    	     	     	      	C1128-631	11 30 22.0	-63 25 34
11 28.8	-60 31	   2.0	    	     	     	      	C1128-605	11 31 06.2	-60 47 34
11 33.8	-61 19	  12.0	1700	 7.35	     	  0.17	C1133-613	11 36 08.4	-61 35 37
11 34.3	-62 44	  14.0	2100	 7.00	     	  0.33	C1134-627	11 36 37.8	-63 00 37
11 41.1	-60 51	   5.0	    	     	     	      	C1141-608	11 43 30.5	-61 07 40
11 41.6	-62 12	   4.0	2600	 6.80	     	  0.25	C1141-622	11 44 00.2	-62 28 40
02 44.6	+16 59	  12.0	    	     	     	      	C0244+169	02 47 23.4	+17 11 31
11 48.4	-55 24	   6.0	1660	 9.00	-0.30	      	C1148-554	11 50 53.4	-55 40 41
11 48.7	-61 47	   5.0	    	     	     	      	C1148-618	11 51 10.2	-62 03 42
11 54.8	-62 21	   3.5	4000	 9.00	     	  0.20	C1154-623	11 57 19.5	-62 37 42
11 55.5	-64 11	  10.0	 400	 8.50	     	  0.16	C1155-642	11 58 01.8	-64 27 42
11 59.3	-62 54	   7.0	1900	 8.14	     	  0.29	C1159-629	12 01 52.1	-63 10 43
12 00.5	-63 31	   4.0	    	     	     	      	C1200-635	12 03 04.8	-63 47 43
12 03.1	-62 15	   6.0	    	     	     	      	C1203-622	12 05 42.2	-62 31 42
12 04.1	-60 57	   6.0	1860	 7.35	     	  0.27	C1204-609	12 06 42.6	-61 13 42
12 04.3	-59 12	  12.0	    	     	     	      	C1204-592	12 06 54.5	-59 28 42
12 06.3	-62 35	  10.0	    	     	     	      	C1206-626	12 08 56.1	-62 51 42
12 10.4	-62 20	   5.0	    	     	     	      	C1210-623	12 13 04.3	-62 36 41
12 13.2	-58 07	   2.7	    	     	     	      	C1213-581	12 15 52.6	-58 23 41
12 14.6	-54 50	   5.0	    	     	     	      	C1214-548	12 17 16.4	-55 06 40
12 21.2	-57 50	   3.5	    	     	     	      	C1221-578	12 23 56.3	-58 06 38
12 21.7	-61 36	  15.0	1700	 8.35	     	  0.23	C1221-616	12 24 28.3	-61 52 37
12 22.0	-60 09	   3.6	    	     	     	      	C1222-601	12 24 45.7	-60 25 37
12 22.6	+26 23	 275.0	  86	 8.60	-0.03	  0.00	C1222+263	12 25 06.3	+26 06 23
21 10.5	+46 22	  10.0	1270	     	     	  0.32	C2110+463	21 12 16.6	+46 34 23
12 26.2	-60 28	   5.0	    	 7.60	     	      	C1226-604	12 29 00.0	-60 44 35
12 25.6	-59 48	   4.0	1600	 7.80	     	  0.31	C1225-598	12 28 23.3	-60 04 36
12 25.8	-59 31	   3.0	    	 8.50	     	      	C1225-595	12 28 35.3	-59 47 35
12 25.9	-56 10	  21.0	    	     	     	      	C1225-561	12 28 39.7	-56 26 35
12 27.1	-64 30	   5.0	    	 7.40	     	      	C1227-645	12 29 57.3	-64 46 35
12 31.2	-61 16	  12.0	    	     	     	      	C1231-612	12 34 03.1	-61 32 32
12 32.6	+36 35	  14.0	 140	     	     	  0.08	C1232+365	12 35 02.5	+36 18 29
12 34.9	-68 11	   5.0	    	     	     	      	C1234-682	12 37 54.3	-68 27 30
12 36.0	-50 52	   3.0	    	     	     	      	C1236-508	12 38 47.2	-51 08 29
12 36.8	-60 19	   7.0	    	     	     	      	C1236-603	12 39 41.3	-60 35 29
12 39.4	-62 41	   5.0	1510	 7.56	     	  0.29	C1239-627	12 42 20.8	-62 57 27
12 40.6	-62 49	   2.0	4200	 6.90	     	  1.12	C1240-628	12 43 33.7	-63 05 26
12 50.6	-60 03	  10.0	2340	 6.85	     	  0.30	C1250-600	12 53 36.0	-60 19 17
12 54.9	-64 40	   3.0	    	     	     	      	C1254-646	12 58 02.4	-64 56 12
12 57.1	-59 19	  11.0	    	     	     	      	C1257-593	13 00 08.4	-59 35 10
13 15.4	-66 55	   4.0	    	 8.10	     	      	C1315-669	13 18 49.9	-67 10 46
13 15.8	-62 17	   3.0	2300	 7.45	     	  0.51	C1315-623	13 19 04.2	-62 32 46
13 17.2	-64 40	   5.0	    	 8.10	     	      	C1317-646	13 20 33.7	-64 55 44
13 22.7	-63 08	   2.8	    	     	     	      	C1322-631	13 26 03.5	-63 23 35
13 24.1	-58 44	   7.0	1800	 8.18	     	  0.26	C1324-587	13 27 20.2	-58 59 33
13 26.0	-60 56	   4.0	 603	 7.40	     	  0.40	C1326-609	13 29 18.9	-61 11 30
13 26.3	-63 55	   6.0	1600	 7.80	     	  0.30	C1326-639	13 29 43.2	-64 10 30
13 27.3	-61 00	   9.0	2900	 6.30	     	  0.87	C1327-610	13 30 37.6	-61 15 28
13 27.9	-60 40	   4.0	1400	 8.20	     	  0.34	C1327-606	13 31 13.3	-60 55 27
13 28.9	-58 13	  12.0	 700	 8.10	     	  0.17	C1328-582	13 32 09.5	-58 28 25
13 28.8	-62 31	   4.0	1100	 7.80	     	  0.20	C1328-625	13 32 11.5	-62 46 25
13 31.3	-59 51	   6.0	    	     	     	      	C1331-598	13 34 37.4	-60 06 21
13 33.2	-61 53	   4.0	    	     	     	      	C1333-619	13 36 36.4	-62 08 18
13 43.1	-62 38	   5.0	1300	 7.71	     	  0.25	C1343-626	13 46 37.1	-62 52 59
13 45.0	-65 49	  15.0	    	     	     	      	C1345-658	13 48 41.0	-66 03 56
13 45.1	-64 25	   4.0	    	     	     	      	C1345-644	13 48 42.9	-64 39 55
13 50.4	-61 36	  13.0	1120	 8.29	 0.01	  0.17	C1350-616	13 53 56.2	-61 50 45
13 56.6	-61 56	   3.0	    	     	     	      	C1356-619	14 00 12.0	-62 10 32
13 57.1	-59 18	  13.0	    	     	     	      	C1357-593	14 00 35.8	-59 32 31
14 02.5	-67 19	  28.0	    	     	     	      	C1402-673	14 06 26.9	-67 33 18
14 04.4	-48 04	  24.0	 500	 8.03	     	  0.13	C1404-480	14 07 36.8	-48 18 15
14 14.6	-58 43	  13.0	    	     	     	      	C1414-587	14 18 11.7	-58 56 50
14 20.3	-61 09	  12.0	1100	 7.50	     	  0.18	C1420-611	14 24 02.6	-61 22 36
14 22.4	-54 34	   7.0	    	     	     	      	C1422-545	14 25 53.3	-54 47 31
14 24.1	-59 24	   3.0	1700	 7.10	     	  0.44	C1424-594	14 27 47.3	-59 37 26
14 26.0	-60 29	  10.0	1200	 7.66	-0.51	  0.49	C1426-605	14 29 45.1	-60 42 21
14 26.9	-60 45	   2.2	    	     	     	      	C1426-607	14 30 40.2	-60 58 19
14 27.4	-60 56	   6.0	1700	 8.04	     	  0.53	C1427-609	14 31 11.0	-61 09 17
14 29.9	-61 09	   6.0	1700	 8.26	     	  0.50	C1429-611	14 33 42.7	-61 22 11
14 31.6	-56 19	  12.0	    	 7.80	     	      	C1431-563	14 35 12.2	-56 32 06
14 32.1	-59 43	   8.0	    	     	     	      	C1432-597	14 35 51.3	-59 56 05
14 40.3	+69 47	      	  20	 8.21	     	  0.00	C1440+697	14 40 55.5	+69 34 14
14 39.7	-57 19	   5.0	    	     	     	      	C1439-573	14 43 23.5	-57 31 44
14 45.3	-54 18	   7.0	 900	 7.96	     	  0.39	C1445-543	14 48 54.0	-54 30 28
14 47.2	-52 02	   3.0	1100	 7.70	     	  0.50	C1447-520	14 50 43.6	-52 14 22
14 50.0	-52 28	   2.0	1000	     	     	  0.48	C1450-524	14 53 33.3	-52 40 14
14 53.0	-62 20	   8.0	    	     	     	      	C1453-623	14 57 02.3	-62 32 04
15 01.5	-54 08	  39.0	 760	 8.95	-0.07	  0.13	C1501-541	15 05 10.3	-54 19 39
15 02.0	-55 23	  10.0	1260	 8.30	-0.13	  0.26	C1502-554	15 05 43.6	-55 34 37
15 11.5	-58 52	   4.5	4400	 6.30	     	  1.13	C1511-588	15 15 26.8	-59 03 06
15 12.8	-59 27	   2.0	    	     	     	      	C1512-594	15 16 47.1	-59 38 02
15 12.6	-58 07	   5.0	    	     	     	      	C1512-581	15 16 30.7	-58 18 03
15 23.9	-54 20	  14.0	    	     	     	      	C1523-543	15 27 40.8	-54 30 25
15 29.5	-55 02	   3.0	    	     	     	      	C1529-550	15 33 20.2	-55 12 05
15 30.0	-53 25	   3.0	    	     	     	      	C1530-534	15 33 45.9	-53 35 04
15 38.1	-56 27	   5.0	    	     	     	      	C1538-564	15 42 02.6	-56 36 35
15 46.7	-57 30	  15.0	    	     	     	      	C1546-575	15 50 44.2	-57 39 03
15 48.2	-56 18	   5.0	    	     	     	      	C1548-563	15 52 10.6	-56 26 58
15 51.8	-57 16	   3.0	    	     	     	      	C1551-572	15 55 50.6	-57 24 45
15 53.0	-59 18	  45.0	    	     	     	      	C1553-593	15 57 10.3	-59 26 40
15 56.6	-53 22	   5.0	    	     	     	      	C1556-533	16 00 27.5	-53 30 27
15 59.4	-60 21	  12.0	 840	 8.03	 0.23	  0.00	C1559-603	16 03 40.1	-60 29 15
16 01.0	-51 46	   5.0	1600	 7.60	     	  0.98	C1601-517	16 04 47.9	-51 54 10
16 02.6	-56 46	   8.0	    	     	     	      	C1602-567	16 06 39.3	-56 54 04
16 03.7	-53 55	   2.0	1590	 7.34	     	  0.41	C1603-539	16 07 36.5	-54 03 00
16 09.0	-52 14	   5.0	    	     	     	      	C1609-522	16 12 50.6	-52 21 39
16 07.0	-55 09	   2.2	    	     	     	      	C1607-551	16 10 58.9	-55 16 47
16 09.3	-54 04	  12.0	2100	 7.89	-0.05	  0.35	C1609-540	16 13 14.0	-54 11 38
16 09.6	-51 46	   4.0	    	     	     	      	C1609-517	16 13 25.4	-51 53 37
16 14.7	-57 46	  12.0	 900	 7.74	     	  0.12	C1614-577	16 18 51.4	-57 53 16
16 15.9	-50 05	   1.0	    	     	     	      	C1615-501	16 19 40.0	-50 12 12
16 15.9	-54 51	  29.0	    	     	     	      	C1615-548	16 19 53.6	-54 58 12
16 16.8	-48 25	   5.0	    	     	     	      	C1616-484	16 20 30.0	-48 32 09
16 19.7	-51 52	   5.0	    	     	     	      	C1619-518	16 23 33.3	-51 58 57
16 19.8	-51 45	   1.7	    	     	     	      	C1619-517	16 23 39.0	-51 51 57
16 20.1	-48 47	   1.0	    	     	     	      	C1620-488	16 23 49.3	-48 53 56
16 20.7	-51 50	   3.4	    	 8.10	     	      	C1620-518	16 24 33.4	-51 56 53
16 22.2	-40 32	  29.0	 490	 7.71	     	  0.69	C1622-405	16 25 38.1	-40 38 48
16 23.0	-26 06	 505.0	    	     	     	      	C1623-261	16 26 03.8	-26 12 46
16 24.0	-49 01	   6.0	 790	 8.80	 0.25	  0.43	C1624-490	16 27 44.4	-49 07 40
16 24.5	-51 23	   8.0	    	     	     	      	C1624-514	16 28 20.7	-51 29 38
16 25.1	-49 00	   4.0	    	     	     	      	C1625-490	16 28 50.5	-49 06 36
16 28.8	-52 30	  29.0	1030	     	     	      	C1628-525	16 32 42.5	-52 36 21
16 30.5	-43 56	   6.0	1100	     	     	  0.29	C1630-439	16 34 03.6	-44 02 14
16 30.6	-49 29	   7.0	1200	 7.60	     	  0.72	C1630-495	16 34 22.5	-49 35 14
16 31.4	-50 51	   5.0	    	     	     	      	C1631-508	16 35 14.2	-50 57 10
16 31.7	-48 11	   3.4	    	     	     	      	C1631-482	16 35 25.4	-48 17 09
16 32.1	-45 31	   4.0	    	 6.80	     	      	C1632-455	16 35 43.2	-45 37 08
16 33.8	-08 50	  23.0	    	     	     	      	C1633-088	16 36 31.5	-08 56 03
16 34.4	-46 12	   4.0	    	     	     	      	C1634-462	16 38 03.0	-46 17 58
16 36.8	-43 15	   7.0	    	     	     	      	C1636-432	16 40 20.8	-43 20 49
16 37.5	-48 39	  14.0	1350	 6.00	     	  0.50	C1637-486	16 41 15.2	-48 44 45
16 38.4	-46 04	   8.0	    	     	     	      	C1638-460	16 42 03.1	-46 09 42
16 40.5	-47 22	  12.0	2400	 6.00	     	  0.60	C1640-473	16 44 12.4	-47 27 33
16 40.7	-47 27	   4.0	    	     	     	      	C1640-474	16 44 24.6	-47 32 32
16 43.0	-47 00	   1.5	2800	 6.00	     	  0.63	C1643-470	16 46 41.7	-47 05 23
16 42.2	-47 39	   4.0	    	     	     	      	C1642-476	16 45 55.2	-47 44 26
16 42.1	-50 41	   5.0	    	     	     	      	C1642-507	16 45 57.1	-50 46 26
16 42.8	-46 55	   5.0	2600	 7.13	     	  0.49	C1642-469	16 46 29.5	-47 00 24
16 44.6	-45 44	   2.0	1400	     	     	      	C1644-457	16 48 14.9	-45 49 16
16 45.7	-43 20	   7.0	    	     	     	      	C1645-433	16 49 15.8	-43 25 12
16 45.8	-44 38	   4.0	    	     	     	      	C1645-446	16 49 24.6	-44 43 11
16 45.5	-53 43	  15.0	1000	 9.00	     	  0.17	C1645-537	16 49 30.4	-53 48 12
16 46.1	-44 38	   4.0	    	     	     	      	C1646-446	16 49 42.6	-44 43 10
16 50.5	-41 42	  14.0	2000	 6.50	     	  0.45	C1650-417	16 54 00.8	-41 46 52
16 51.6	-45 13	   2.0	2300	 6.00	     	  1.43	C1651-452	16 55 14.4	-45 17 47
16 52.0	-40 44	 105.0	    	     	     	      	C1652-407	16 55 29.0	-40 48 46
17 36.3	-33 12	   5.0	    	     	     	      	C1736-332	17 39 35.3	-33 13 36
16 52.2	-39 24	   9.0	1200	 7.71	     	  0.37	C1652-394	16 55 38.5	-39 28 45
16 53.5	-40 34	  60.0	1600	 6.00	     	  0.36	C1653-405	16 56 58.8	-40 38 40
16 54.0	-44 41	   6.0	    	 7.40	     	      	C1654-447	16 57 37.4	-44 45 37
16 54.2	-45 43	   7.0	1020	 7.15	     	      	C1654-457	16 57 51.7	-45 47 36
16 55.1	-52 37	   5.0	    	     	     	      	C1655-526	16 59 04.1	-52 41 32
16 57.1	-44 35	  10.0	 770	 8.35	 0.29	  0.62	C1657-446	17 00 43.4	-44 39 24
16 58.9	-39 39	   6.0	1100	 7.40	     	  0.39	C1658-396	17 02 21.4	-39 43 17
17 01.4	-37 49	   8.0	 600	 8.35	 0.10	  0.14	C1701-378	17 04 48.1	-37 53 06
17 01.6	-48 06	  14.0	    	     	     	      	C1701-481	17 05 22.1	-48 10 05
17 08.3	+15 36	  20.0	    	     	     	      	C1708+156	17 10 33.6	+15 32 21
17 14.3	-39 23	   4.0	    	     	     	      	C1714-394	17 17 45.7	-39 26 11
17 14.9	-42 53	  10.0	1200	 7.00	     	  0.51	C1714-429	17 18 28.8	-42 56 08
17 20.0	-37 52	   9.0	    	     	     	      	C1720-378	17 23 25.1	-37 54 47
17 18.0	-36 01	  20.0	2300	     	     	  1.16	C1718-360	17 21 21.7	-36 03 55
17 20.8	-49 53	  12.0	 710	 9.38	-0.16	  0.10	C1720-499	17 24 40.1	-49 55 42
17 21.3	-38 56	   5.0	    	     	     	      	C1721-389	17 24 45.1	-38 58 41
17 22.1	-34 22	   4.0	2100	 6.00	     	  1.66	C1722-343	17 25 24.9	-34 24 38
17 24.1	+24 14	  13.0	    	     	     	      	C1724+242	17 26 10.1	+24 11 28
17 24.4	-07 02	      	    	     	     	      	C1724-070	17 27 06.0	-07 04 29
17 24.5	-40 43	   2.0	    	     	     	      	C1724-407	17 28 00.7	-40 45 27
17 25.3	-29 26	  17.0	2800	     	     	      	C1725-294	17 28 29.1	-29 28 24
17 26.2	-40 27	  13.0	    	     	     	      	C1726-404	17 29 42.2	-40 29 20
17 27.4	-37 02	  10.0	    	     	     	      	C1727-370	17 30 47.8	-37 04 15
17 28.0	-34 02	   5.0	    	     	     	      	C1728-340	17 31 18.5	-34 04 12
17 28.0	-36 48	  14.0	    	     	     	      	C1728-368	17 31 23.4	-36 50 12
17 31.5	-32 31	   5.0	1380	 6.65	     	  0.25	C1731-325	17 34 46.1	-32 32 57
17 31.8	-34 15	   6.0	    	     	     	      	C1731-342	17 35 07.0	-34 16 56
17 32.9	-33 26	   6.0	1650	 7.00	     	  1.35	C1732-334	17 36 11.7	-33 27 51
17 33.5	-32 26	   7.0	1500	 8.30	     	  0.71	C1733-324	17 36 46.0	-32 27 49
17 34.3	-36 13	   8.0	1500	 6.80	     	  0.99	C1734-362	17 37 40.5	-36 14 45
17 34.8	-37 31	  24.0	    	     	     	      	C1734-375	17 38 12.8	-37 32 43
17 34.8	-34 57	   3.0	    	 7.40	     	      	C1734-349	17 38 08.3	-34 58 43
17 36.9	-36 56	   7.0	    	     	     	      	C1737-369	17 40 17.8	-36 57 33
17 38.1	-40 04	   9.0	    	     	     	      	C1738-400	17 41 35.8	-40 05 28
17 36.8	-32 10	  14.0	 600	 7.71	 0.10	  0.16	C1736-321	17 40 03.6	-32 11 34
17 40.9	-34 50	   3.4	    	     	     	      	C1740-348	17 44 14.2	-34 51 16
17 41.1	-32 19	  18.0	 800	 8.50	     	  0.31	C1741-323	17 44 22.0	-32 20 15
17 41.3	-33 43	   5.0	    	     	     	      	C1741-337	17 44 36.3	-33 44 15
17 43.8	+05 44	  40.0	 430	 7.56	     	  0.16	C1743+057	17 46 15.1	+05 42 55
17 44.4	-30 05	   3.9	    	     	     	      	C1744-301	17 47 36.4	-30 06 01
17 43.2	-29 16	   4.0	1500	 6.80	     	  1.12	C1743-292	17 46 23.2	-29 17 06
17 43.7	-31 30	   7.0	 800	 7.80	     	  0.48	C1743-315	17 46 56.7	-31 31 04
17 44.1	-29 34	   8.0	    	     	     	      	C1744-295	17 47 17.6	-29 35 03
17 45.6	+01 19	  45.0	    	     	     	      	C1745+013	17 48 08.3	+01 18 03
17 45.8	-29 11	  10.0	    	     	     	      	C1745-292	17 48 59.1	-29 11 55
17 46.2	-28 42	   9.0	    	     	     	      	C1746-287	17 49 22.3	-28 42 53
17 46.2	-34 47	  12.0	    	     	     	      	C1746-348	17 49 32.1	-34 47 53
17 47.5	-30 11	   7.0	 570	 9.80	     	  0.07	C1747-302	17 50 42.6	-30 11 48
17 49.0	-30 03	   9.0	 850	 9.10	     	  0.33	C1749-300	17 52 12.4	-30 03 41
17 49.3	-28 41	   5.0	    	     	     	      	C1749-287	17 52 28.3	-28 41 40
17 49.6	-29 32	   5.0	    	     	     	      	C1749-295	17 52 47.6	-29 32 38
17 49.9	-22 19	  12.0	1600	     	     	      	C1749-223	17 52 55.2	-22 19 38
17 49.7	-28 26	   3.4	    	     	     	      	C1749-284	17 52 51.9	-28 26 38
17 50.1	-27 20	   3.0	    	     	     	      	C1750-273	17 53 14.3	-27 20 36
17 50.6	-34 47	  80.0	 240	 8.35	     	  0.03	C1750-348	17 53 56.2	-34 47 34
17 53.1	-35 18	  10.0	    	     	     	      	C1753-353	17 56 27.1	-35 18 23
17 53.9	-19 00	  27.0	 660	 8.35	     	  0.26	C1753-190	17 56 50.8	-19 00 20
17 55.4	-11 40	  11.0	    	     	     	      	C1755-116	17 58 11.6	-11 40 14
17 56.2	-24 41	   2.2	    	     	     	      	C1756-247	17 59 16.5	-24 41 10
17 56.4	-24 46	   2.5	    	     	     	      	C1756-248	17 59 28.6	-24 46 09
